clueweb09-en0000-60-00077	{m.09c7w0:8771:8775} Says {m.060kf2:8781:8794} on Millions of Veterans Stolen .
clueweb09-en0000-60-03817	June 3, 2008:   Two {m.03shp:15169:15176} converts to {m.01lp8:15189:15201} jailed for the past few weeks have been released by security police, who demanded valuable property deeds as bail collateral.
clueweb09-en0000-60-03817	May 28, 2008:   {m.03shp:15658:15665} police are refusing to release a {m.04y29:15699:15705} convert to {m.01lp8:15717:15729} arrested 17 days ago in the southern city of {m.09wc5:15775:15781} .
clueweb09-en0000-60-03817	May 21, 2008:   Police in the southern {m.03shp:16340:16344} city of {m.09wc5:16353:16359} this month cracked down against known {m.04y29:16398:16404} converts to {m.01lp8:16417:16429} , arresting members of three {m.04t_mf:16458:16467}
clueweb09-en0000-60-03818	In 99-percent {m.078tg:6729:6735} {m.01znc_:6736:6742} , most of these {m.0d05q4:6758:6764} are not {m.04y29:6773:6780} .
clueweb09-en0000-60-03818	October 13, 2008:  Thousands of {m.0d05q4:7808:7813} {m.04t_mf:7814:7824} have fled the city of {m.01cgxp:7847:7852} in northern {m.0d05q4:7865:7869} over the past week after {m.078tg:7895:7907} extremists launched a deadly campaign to remove the Christian community from the city.
clueweb09-en0000-60-03818	March 6, 2008:  John Eibner, who heads a worldwide Christian human rights group, says although the {m.09c7w0:12817:12821} -led military surge is reducing violence overall in {m.0d05q4:12873:12877} , the situation for {m.04t_mf:12897:12907} is still tense and dangerous.
clueweb09-en0000-60-03818	Since the fall of {m.0d05q4:13182:13187} dictator {m.079dy:13197:13211} , more than 400,000 {m.04t_mf:13231:13241} have been forced to flee the country.
clueweb09-en0000-60-03818	February 12, 2008 - The {m.038m7r:14706:14738} condemns the murder of an {m.0d05q4:14765:14770} reporter whose body was discovered today in {m.01fqm:14815:14822} after he disappeared on Sunday.
clueweb09-en0000-60-03819	Acting Foreign Minister {m.0n_gdsd:7715:7727} told the {m.03__y:7737:7746} parliament on Wednesday  that authorities had expelled missionaries operating under the cover of doing charitable work, suggesting that evangelistic activity is illegal in {m.03__y:7934:7940} .
clueweb09-en0000-60-03820	October 14, 2008:   {m.07jqh:7424:7431} militants bombed a {m.0c8wxp:7451:7459} -run girls school in {m.05sb1:7481:7489} s war-torn {m.04k_76:7501:7512} as part of a larger effort to subvert womens status in society through {m.0flw86:7585:7592} law, locals say.
clueweb09-en0000-60-03820	At a hearing in {m.027_dl:12065:12071} , 200 miles southwest of {m.0xnt5:12096:12102} , Judge {m.0ctpt7:12110:12122} ordered Aneela and Saba Masih, 10 and 13 respectively, to be temporarily placed in a government-run womens shelter.
clueweb09-en0000-60-03820	Yesterday a judge in {m.05sb1:14229:14237} s {m.065zr:14240:14246} province ordered further investigation into the kidnapping of Saba Younis, 12, and Aneela Younis, 10, who went missing on June 26 in the small town of Chowk Munda.
clueweb09-en0000-60-03820	kidnapped by the banned militant group Lashkar-e-Islam in {m.05sb1:15056:15064} s northwestern city of {m.0hj6h:15088:15096} , a government clampdown on extremist groups in the region has left {m.04t_mf:15164:15174} and locals fearing a backlash.
clueweb09-en0000-60-03820	The three suspects were captured February 26 at a hideout in Akhtar Colony in {m.04cjn:18718:18725} s {m.06ntjt:18728:18735} district, where the {m.075mb:18756:18761} police said they also recovered a substantial quantity of weapons and explosives.
clueweb09-en0000-60-03820	Yesterday a judge in {m.05sb1:14229:14237} s {m.065zr:14240:14246} province ordered further investigation into the kidnapping of Saba Younis, 12, and Aneela Younis, 10, who went missing on June 26 in the small town of Chowk Munda.
clueweb09-en0000-60-03820	kidnapped by the banned militant group Lashkar-e-Islam in {m.05sb1:15056:15064} s northwestern city of {m.0hj6h:15088:15096} , a government clampdown on extremist groups in the region has left {m.04t_mf:15164:15174} and locals fearing a backlash.
clueweb09-en0000-60-03820	The three suspects were captured February 26 at a hideout in Akhtar Colony in {m.04cjn:18718:18725} s {m.06ntjt:18728:18735} district, where the {m.075mb:18756:18761} police said they also recovered a substantial quantity of weapons and explosives.
clueweb09-en0000-60-03821	June 21, 2008:  {m.03spz:4548:4554} 's tiny community of {m.0j8hx:4575:4589} , a mixed group of 10,000 people who include the {m.01n7q:4638:4648} -based {m.0hkv5:4655:4669} , complains of threats, harassment and police indifference.
clueweb09-en0000-60-03821	April 21, 2008:  -  The {m.05lxby:5744:5767} has ruled that {m.0j8hx:5783:5797} have the same rights regarding automatic citizenship as {m.0j8hx:5854:5858} who do not believe in {m.045m1_:5881:5886} as the {m.04ys7:5894:5901} ... The {m.05lxby:5910:5923} 's decision should alleviate some of the pressure that {m.041rx:5978:5984} believers and foreign {m.05zsk:6007:6016} workers have felt in {m.03spz:6038:6044} , Jim Sibley said, adding that he 'can't help but believe' the ruling is related to a terrorist attack on the {m.0j8hx:6154:6163} community that occurred in March.
clueweb09-en0000-60-03822	Free Press Forum, an annual gathering in {m.09bjv:4195:4201} , {m.04hqz:4203:4210} organised by the {m.0dpl5n:4228:4259}  and   {m.06sy2k:4276:4284}   newspaper.
clueweb09-en0000-60-03822	November 11, 2008:  - {m.0ckxt:4536:4554} says the {m.01z215:4564:4569} government has banned a crusading defence attorney from travelling abroad to receive an award for his work.
clueweb09-en0000-60-03823	April 29, 2008:  - {m.0flw86:4646:4653} extremists have shot and killed a {m.04y29:4688:4694} convert to {m.01lp8:4706:4718} .
clueweb09-en0000-60-03823	According to a news release from the {m.0rh6k:4757:4773} based human rights group, {m.0gwyj56:4800:4831} , the slaying occurred on April 22 in Baidawa, a town 149 miles from {m.0gclb:4906:4915} , the capital of {m.06tgw:4932:4939} .
clueweb09-en0000-60-03824	March 4, 2008:  {m.02ln61:5358:5383} has strongly condemned police who detained and beat {m.07fj_:5436:5444} journalist, {m.08xs6_:5457:5473} , president of the working group on press freedom in {m.05g2v:5526:5538} , and her husband, Omar Mestiri, managing editor of the newspaper  Kalima  on their arrival at {m.0bpryk:5643:5654} port on 3 March 2008.
clueweb09-en0000-60-03824	November 27, 2002:   {m.02ln61:5889:5914} has protested against the arrest of journalist Slim Boukhdir, who according to latest reports is being held at a police station in the suburbs of {m.06t1kx:6061:6065} , 231 kilometres south of {m.0ftn8:6091:6096} .
clueweb09-en0000-60-03824	November 27, 2007:   Dear Secretary General, We are writing to you, for the second time since January, to express our great concern at the continuous attacks on freedom of expression by the {m.07fj_:6486:6494} authorities since the {m.01p41f:6517:6556}  was held in {m.0ftn8:6576:6581} two years ago.
clueweb09-en0000-60-03824	Meanwhile, journalist Abdallah Zouari has been living in internal exile for his work with the now-defunct {m.0flw86:7573:7580} newspaper   {m.0bcrhs:7597:7604}  .
clueweb09-en0000-60-03827	December 30, 2008  {m.02k54:6886:6894} authorities arrested a {m.04y29:6918:6924} convert to {m.01lp8:6936:6948} , along with her {m.04t_mf:6965:6974}
clueweb09-en0000-60-03827	An {m.02k54:8855:8863} news article , {m.0flw86:8933:8940} Experts Call for Mohammed Hegazy's Death , is a revealing window into what religious minorities face in {m.02k54:9050:9055} .
clueweb09-en0000-60-03828	In July 2007, {m.079g9l:7180:7190} co-organised a mission with The {m.08p6b9:7223:7251} , {m.04p73j:7260:7279} , the Bar Human Rights Committee of {m.02jx1:7315:7322} and {m.0j5g9:7327:7332}  and the Centre for European Studies, {m.0fp5z:7377:7385} , {m.03rt9:7387:7394} , in response to reports of rapidly increasing violations of the right to freedom of expression in {m.01znc_:7493:7499} .
clueweb09-en0000-60-03828	Is there a chance that {m.02k54:17743:17748} could be listed as a {m.09zs25:17770:17799} ?
clueweb09-en0000-60-03828	{m.02k54:24883:24888} 's reputation as a country that has an appalling human rights record calls into question the wisdom of {m.02k54:24991:24996} 's new membership the {m.07t65:25018:25020} 's Human Right's Council.
clueweb09-en0000-60-03828	In a briefing paper, {m.0ckxt:25172:25190} and {m.027cnr9:25195:25234}  submit that {m.02k54:25253:25258} has not upheld 'the highest standards in the promotion and protection of human rights,' and regret that Member {m.09c7w0:25370:25376} did not 'take into account the contribution of candidates to the promotion and protection of human rights,' pursuant to General Assembly Resolution 60/251 when electing {m.02k54:25546:25551} to the Council.
clueweb09-en0000-60-03828	{m.078tg:28358:28364} converts to {m.01lp8:28377:28389} may face prosecution under {m.0hz2r:28417:28427} , as well as anyone else who publicly criticizes {m.0flw86:28479:28484} .
clueweb09-en0000-60-03828	{m.078tg:28358:28364} converts to {m.01lp8:28377:28389} may face prosecution under {m.0hz2r:28417:28427} , as well as anyone else who publicly criticizes {m.0flw86:28479:28484} .
clueweb09-en0000-60-03828	This movement is a religious idea that aims for world domination, according to {m.05ygwmw:36236:36248} , author of {m.06mrsw_:36263:36279} : Jihadism Against Democracy .
clueweb09-en0000-60-03830	While {m.05hyf:8977:8983} was eradicated in {m.02j9z:9002:9008} , it took root and now flourishes in the {m.0xff:9049:9053} world.
clueweb09-en0000-60-03830	{m.0445s:9499:9504} comes to Small Town, {m.09c7w0:9526:9529} , is a revealing report by an {m.09c7w0:9563:9571} journalist fluent in {m.0jzc:9593:9599} , who attended  a special informational presentation on {m.0d05l6:9660:9663} and family values, and how to bring them back to the forefront in {m.09c7w0:9730:9737}   sponsored by a local mosque.
clueweb09-en0000-60-03830	Laura Mansfield arrived early, didn't mention she was fluent in {m.0jzc:9837:9843} , and discovered two very different messages were presented , one in {m.0jzc:9913:9919} that endorsed jihad for the {m.04y29:9948:9955} , and the other in {m.02jx1:9974:9981} aimed at {m.09c7w0:9992:10001} unfamiliar with the tenets of {m.0flw86:10032:10037} , and which promoted a  peaceful, friendly, warm and fuzzy doctrine [that] is being used to draw people in, with a focus on the well-being of their children.
clueweb09-en0000-60-03832	An {m.02k54:4096:4104} news article , {m.0flw86:4164:4171} Experts Call for {m.02x2tzh:4189:4204} 's Death , is a revealing window into what religious minorities face in {m.02k54:4281:4286} .
clueweb09-en0000-60-03832	December 30, 2008  {m.02k54:4684:4692} authorities arrested a {m.04y29:4716:4722} convert to {m.01lp8:4734:4746} , along with her {m.04t_mf:4763:4772}
clueweb09-en0000-60-03833	September 29, 2008:   A longstanding effort to replace a church with a mosque in {m.019rg5:4095:4100} s northern town of {m.0c6xtw:4120:4127} culminated in an attack by 50 {m.04y29:4158:4164}
clueweb09-en0000-60-03833	September 25, 2008:  Free expression defenders have won a small, but important victory: the {m.02z4f6:4642:4665} has dropped efforts of the {m.0ct_x:4693:4731}  and some {m.0dg3n1:4747:4754} countries to endorse the concept of defamation of religion at its latest session.
clueweb09-en0000-60-03833	The event is touted as a dialogue by the {m.02fxwm:7781:7808} , {m.0cljp:7810:7835} , and the {m.025t7ly:7845:7851} group {m.017rlk:7858:7892} .
clueweb09-en0000-60-03833	September 12, 2008:  {m.034f0r:9111:9115} members ARTICLE 19 and {m.02ln61:9139:9164}  are calling on {m.0jdd:9186:9197} 's President {m.0kxrb:9210:9222} to intervene in the case of a former journalist and a mullah who were sentenced to 20 years in prison last week for publishing a translation of the {m.096tx:9371:9376} .
clueweb09-en0000-60-03833	September 12, 2008:  {m.034f0r:9111:9115} members ARTICLE 19 and {m.02ln61:9139:9164}  are calling on {m.0jdd:9186:9197} 's President {m.0kxrb:9210:9222} to intervene in the case of a former journalist and a mullah who were sentenced to 20 years in prison last week for publishing a translation of the {m.096tx:9371:9376} .
clueweb09-en0000-60-03833	September 10, 2008:   Two {m.03shp:11234:11241} {m.04t_mf:11242:11252} have officially been charged with apostasy, or leaving {m.0flw86:11310:11315} , as a draft law making the death penalty mandatory for those convicted of the charge is set to be debated in {m.03shp:11425:11429} s {m.03mkh:11432:11442} .
clueweb09-en0000-60-03834	October 29, 2008:  - Aid agencies are reviewing the viability of their presence in {m.04qb54v:5326:5337} following the murder of {m.024gq:5362:5371} aid worker {m.04q72lq:5383:5397} , who was killed in {m.0494n:5417:5422} last week in a drive-by shooting.
clueweb09-en0000-60-03834	October 29, 2008:  - Aid agencies are reviewing the viability of their presence in {m.04qb54v:5326:5337} following the murder of {m.024gq:5362:5371} aid worker {m.04q72lq:5383:5397} , who was killed in {m.0494n:5417:5422} last week in a drive-by shooting.
clueweb09-en0000-60-03834	October 29, 2008:  - Aid agencies are reviewing the viability of their presence in {m.04qb54v:5326:5337} following the murder of {m.024gq:5362:5371} aid worker {m.04q72lq:5383:5397} , who was killed in {m.0494n:5417:5422} last week in a drive-by shooting.
clueweb09-en0000-60-03834	October 14, 2008:   {m.07jqh:11175:11182} militants bombed a {m.0c8wxp:11202:11210} -run girls school in {m.05sb1:11232:11240} s war-torn {m.04k_76:11252:11263} as part of a larger effort to subvert womens status in society through {m.0flw86:11336:11343} law, locals say.
clueweb09-en0000-60-03834	October 13, 2008:  Thousands of {m.0d05q4:11929:11934} {m.04t_mf:11935:11945} have fled the city of {m.01cgxp:11968:11973} in northern {m.0d05q4:11986:11990} over the past week after {m.078tg:12016:12028} extremists launched a deadly campaign to remove the {m.024gq:12081:12090} community from the city.
clueweb09-en0000-60-03834	October 7, 2008:  {m.034f0r:14905:14909} members welcomed the presidential pardon of a two-month jail sentence against {m.0j9k2t_:14988:15000} , editor-in-chief of the independent daily   {m.04gq5m4:15049:15059}  .
clueweb09-en0000-60-03835	In 99-percent {m.04y29:8828:8834} {m.01znc_:8835:8841} , most of these {m.0d05q4:8857:8863} are not {m.04y29:8872:8879} .
clueweb09-en0000-60-03835	November 12, 2008:  - Two years into a trial for insulting Turkishness that has been light on evidence and heavy on mud-slinging at {m.01znc_:12051:12057} s {m.05sfs:12060:12070} community, a court proceeding last week brought no progress.
clueweb09-en0000-60-03836	Essentially, a {m.0d060g:6338:6346} judge has codified into his ruling what refugee advocates already knew for some time: The {m.09c7w0:6437:6441} is no longer a safe place for {m.04t_mf:6472:6482} fleeing persecution.
clueweb09-en0000-60-03836	At least for now, the {m.09c7w0:8546:8550} is no longer a safe haven for these {m.04t_mf:8588:8598} .
clueweb09-en0000-60-03836	Even though leaders of underground churches comprised of {m.04y29:8796:8802} -background believers want to see these {m.04t_mf:8842:8852} stay in the {m.04wsz:8865:8876} and spread the gospel, there are certain cases where individuals may die if they cannot exit the country.
clueweb09-en0000-60-03836	One convert whose asylum application was denied in {m.03rjj:9416:9421} returned to {m.02k54:9434:9439} recently only to be arrested and forcibly held in a mental hospital until he recants his {m.04t_mf:9529:9538} faith.
clueweb09-en0000-60-03837	Eid said that the hearing last Tuesday  was relatively peaceful, though El-Badyl newspaper reported the following day that {m.0flw86:10870:10878} lawyer Nabih el-Wahsh had again raised the issue of {m.04t_mf:10931:10941} evangelizing {m.04y29:10955:10962} .
clueweb09-en0000-60-03838	On the same day Husseini granted Bahais some leeway on identity documents, he also rendered a disappointing verdict in the petition filed by {m.04y29:8778:8784} convert {m.02x2tzh:8793:8808} .
clueweb09-en0000-60-03839	{m.09c7w0:8013:8017}   {m.07vsl:8024:8040} spokesman {m.02rgngn:8051:8060} also criticized the verdict, telling reporters that {m.0rh6k:8113:8123} was 'very concerned about Suleiman's conviction and sentencing and regarded freedom of speech as a basic human right,'  reported {m.0ps53:8258:8265} .
clueweb09-en0000-60-03839	Congressman {m.024p5b:9165:9177}  and {m.0d0lx0:9189:9201}  wrote {m.02k54:9284:9292} Ambassador Nabil Fahmy January 24.
clueweb09-en0000-60-03839	(Source: {m.07vsl:12355:12379} spokesman {m.0d8_f4:12390:12404} .).
clueweb09-en0000-60-03840	Ranging in size from several dozen to more than 1,000 members, 32 congregations in {m.0h3y:6039:6046} belong to the {m.027scwc:6061:6089} , while another 20 small fellowships exist independently.
clueweb09-en0000-60-03841	It is unclear whether the final ruling on July 1 will be enacted retroactively, cancelling previous court rulings that granted {m.0czqr:10730:10736} converts to {m.0flw86:10749:10754} the right to return to their {m.024gq:10784:10793}
clueweb09-en0000-60-03841	only have to produce a formal certificate of conversion from {m.01p5ls:11907:11915} [ {m.02k54:11917:11922} ?s official {m.0flw86:11939:11946} establishment],? Gabriel said.
clueweb09-en0000-60-03842	For {m.04y29:10956:10962} converts to {m.01lp8:10975:10987} , not only do they face the potential rage of family members, who often view the convert as an apostate subject to severe punishment and even death under the strict interpretation of the {m.096tx:11174:11179} , they also cannot change the ID card affiliation.
clueweb09-en0000-60-03842	These situations all stem from {m.02k54:11990:11995} 's legal reliance upon {m.074hw:12018:12024} - {m.0flw86:12027:12034} law as derived from {m.096tx:12055:12062} teachings.
clueweb09-en0000-60-03843	The two congressmen go on to criticize {m.02k54:8863:8868} 's religious defamation law, {m.0hz2r:8897:8907} , under which Soliman was convicted.
clueweb09-en0000-60-03844	August 5, 2007 - An {m.02k54:6141:6149} who embraced {m.01lp8:6163:6175} has filed an unprecedented court case in {m.02k54:6217:6222} 's {m.03qcfv3:6225:6245} requesting a change of his religion on his national identity card and other official papers.
clueweb09-en0000-60-03844	Hegazy's case comes right after the {m.03l6rl:8735:8746} of {m.02k54:8750:8755} , Sheikh {m.080wkz:8764:8773} , who is {m.02k54:8782:8787} 's official religious advisor, ruled that {m.04y29:8829:8836} are free to change their faith as it is a matter between an individual and {m.0d05l6:8912:8915} .
clueweb09-en0000-60-03845	{m.09949m:6128:6136} , August 8, 2007 - An {m.02k54:6159:6167} convert to {m.01lp8:6179:6191} who filed suit for his conversion to be officially recognized is in hiding after his attorney announced he would withdraw from the case yesterday.
clueweb09-en0000-60-03845	But with sharia enshrined as the basis of {m.02k54:10259:10264} 's legal code in {m.07sf7:10281:10290} of the constitution, many {m.04y29:10317:10324}
clueweb09-en0000-60-03845	Since 2004, dozens of {m.024gq:10612:10618} converts to {m.0flw86:10631:10636} have won the right to return to their original faith, but Hegazy is the first {m.04y29:10715:10721}
clueweb09-en0000-60-03847	?The media have been saying that they arrested Adel and Peter because they are the main reason {m.02x2tzh:9266:9272} became a {m.04t_mf:9282:9291} ,? Al-Nagar said.
clueweb09-en0000-60-03847	where {m.02k54:11450:11455} ?s top {m.0flw86:11467:11474} scholars work, agreed with Al-Ibrahim, openly challenging statements by {m.02k54:11547:11552} ?s second highest religious authority last month that apostasy should not be punished in this world.
clueweb09-en0000-60-03847	But with sharia enshrined as the basis of {m.02k54:12034:12039} ?s legal code in {m.07sf7:12061:12070} of the constitution, many {m.04y29:12097:12104}
clueweb09-en0000-60-03847	The number of {m.04y29:12386:12392} converts to {m.01lp8:12405:12417} remains unknown.
clueweb09-en0000-60-03848	More than five months have passed since Esther Aydins father was beaten, tortured and then slaughtered with a knife in {m.01znc_:6892:6898} s eastern city of {m.04qkvn:6917:6924} by five young {m.04y29:6939:6946} who claimed in initial statements they had done it for our religion.
clueweb09-en0000-60-03848	One prospective landlord backed out of signing a contract with her after learning her husband was one of the {m.04y29:10699:10705} converts to {m.01lp8:10718:10730} killed in {m.04qkvn:10741:10748} .
clueweb09-en0000-60-03848	One prospective landlord backed out of signing a contract with her after learning her husband was one of the {m.04y29:10699:10705} converts to {m.01lp8:10718:10730} killed in {m.04qkvn:10741:10748} .
clueweb09-en0000-60-03848	No school official or parent from {m.0crqz1:12346:12352} s school in {m.04qkvn:12365:12372} contacted Aydin after her husbands murder, she said.
clueweb09-en0000-60-03849	Former {m.04y29:6206:6212} sues {m.02k54:6218:6223} for right to become {m.04t_mf:6244:6253} .
clueweb09-en0000-60-03849	{m.09949m:6358:6366} , October 10   Conservative Islamic lawyers came out in support of the {m.02k54:6468:6476} government last week at the opening court hearing of a {m.04y29:6532:6538} convert to {m.01lp8:6550:6562} .
clueweb09-en0000-60-03849	In April, judge Husseini rejected the case of 45 {m.04t_mf:10708:10717} converts to {m.0flw86:10730:10735} who wished to return to {m.01lp8:10760:10772} .
clueweb09-en0000-60-03850	The situation for {m.02k54:5798:5806} convert {m.02x2tzh:5815:5830} and his pregnant wife has turned into a prolonged state of crisis, with reports in November that {m.0flw86:5928:5937} are distributing Hegazys picture following Friday prayers at mosques in {m.01d3hg:6011:6020} and {m.02wvg83:6025:6034} .
clueweb09-en0000-60-03850	convert from Islam to {m.01lp8:6262:6274} to petition {m.02k54:6287:6292} s {m.03qcfv3:6295:6315} to change his religious affiliation on his national identity card.
clueweb09-en0000-60-03850	Under {m.02k54:6389:6397} law, {m.04y29:6403:6410} are not allowed to change religious affiliation, although {m.04t_mf:6469:6479} converting to Islam are typically allowed to change their identity papers to reflect Islam within a day or two.
clueweb09-en0000-60-03850	Muslims seeking to change their official ID card to reflect {m.01lp8:6935:6947} are violating {m.074hw:6962:6968} law, which considers such an action apostasy, and an offense worthy of the death penalty.
clueweb09-en0000-60-03850	Nakhla withdrew from the case August 7, following provocative publicity about {m.02x2tzh:8503:8509} s case in the {m.02k54:8524:8532} press.
clueweb09-en0000-60-03850	Advocates For The {m.017tz9:19981:19991} urges {m.059g4:19998:20013} who are concerned about human rights in {m.02k54:20054:20059} , and the egregious treatment in {m.02k54:20092:20097} of both {m.04y29:20106:20112} converts to {m.01lp8:20125:20137} as well as those who advocate for {m.04t_mf:20172:20182} , to voice concern over these human rights abuses to political representatives in {m.059g4:20264:20277} and to {m.02k54:20285:20290} s President {m.0dnps:20303:20316} .
clueweb09-en0000-60-03850	Advocates For The {m.017tz9:19981:19991} urges {m.059g4:19998:20013} who are concerned about human rights in {m.02k54:20054:20059} , and the egregious treatment in {m.02k54:20092:20097} of both {m.04y29:20106:20112} converts to {m.01lp8:20125:20137} as well as those who advocate for {m.04t_mf:20172:20182} , to voice concern over these human rights abuses to political representatives in {m.059g4:20264:20277} and to {m.02k54:20285:20290} s President {m.0dnps:20303:20316} .
clueweb09-en0000-60-03851	December 30, 2008  {m.02k54:5957:5965} authorities arrested a {m.04y29:5989:5995} convert to {m.01lp8:6007:6019} , along with her {m.04t_mf:6036:6045}
clueweb09-en0000-60-03852	An {m.02k54:39064:39072} news article , {m.0flw86:39132:39139} Experts Call for Mohammed Hegazy's Death , is a revealing window into what religious minorities face in {m.02k54:39249:39254} .
clueweb09-en0000-60-03853	Ranging in size from several dozen to more than 1,000 members, 32 congregations in {m.0h3y:4488:4495} belong to the {m.027scwc:4510:4538} , while another 20 small fellowships exist independently.
clueweb09-en0000-60-03855	December 30, 2008  {m.02k54:3833:3841} authorities arrested a {m.04y29:3865:3871} convert to {m.01lp8:3883:3895} , along with her {m.04t_mf:3912:3921}
clueweb09-en0000-60-03855	Changes were made in 2003 to some {m.01znc_:5582:5589} laws relating to places of worship as part of the process of harmonising {m.01znc_:5663:5669} 's laws with the {m.02jxk:5686:5700} .
clueweb09-en0000-60-03855	They could not legally marry since a woman who is legally recognised as a {m.04y29:8275:8281} cannot marry a {m.01mw2h:8297:8307} .
clueweb09-en0000-60-03895	How To Adjust the Font Size If you are using {m.03xw0:16706:16733} , from {m.0693rp:16748:16752} choose the {m.03x8x8:16781:16790} command, and then choose the size you want.
clueweb09-en0000-60-03955	This {m.025shgm:8067:8075} states values in both {m.0c13h:8098:8100}  and {m.07y37:8114:8135} .
clueweb09-en0000-60-03958	Document ASHRAE 62.1 ADD A, {m.017_b:6060:6061} , {m.02j5l:6063:6064} , F, AND {m.0185n:6073:6074} is offered by {m.04jb8dq:6089:6092} as part of an online subscription.
clueweb09-en0000-60-04049	The {m.04tzls:7810:7814} 's reimbursement to the {m.074c1:7838:7841} will be governed by State law  or the provisions of this regulation, whichever is more restrictive.
clueweb09-en0000-60-04070	Document {m.01gy4b:6016:6022} 55 ADD A, {m.017_b:6033:6034} is offered by {m.04jb8dq:6049:6052} as part of an online subscription.
clueweb09-en0000-60-04141	Document {m.041301n:5889:5896} is offered by {m.04jb8dq:5911:5914} as part of an online subscription.
clueweb09-en0000-60-04186	{m.027ddp:20811:20816} agreed with {m.027qqst:20829:20834} 's concern and requested that {m.027qqst:20864:20869} create a consortium consisting of representatives from the industry in order to create the necessary technology credits for {m.0b6zt8:20994:20998} .
clueweb09-en0000-60-04186	{m.027qqst:18290:18340}  is working with the {m.09c7w0:18369:18373} {m.06_v0b5:18374:18396}  to develop strategies for the recognition of technology infrastructure related innovation credits in the {m.0b6zt8:18510:18555}  certification system.
clueweb09-en0000-60-04192	The {m.02q9k:20329:20331} sent {m.0154j:20337:20344} and the {m.07ssc:20353:20357} a formal notice in February 2006 and a reasoned opinion in October 2006, urgently requesting them to notify the transposition measures required by the directive.
clueweb09-en0000-60-04192	The {m.02q9k:18567:18586}  launched court proceedings against {m.0154j:18627:18634} and the {m.07ssc:18643:18657} for failure to notify adequate national implementing measures, as required by the 2002 .
clueweb09-en0000-60-04192	{m.02q9k:15606:15608} Cites {m.0154j:15615:15622} , {m.07ssc:15624:15628} for Failures Complying with Energy Performance of Buildings Directive
clueweb09-en0000-60-04209	The {m.0h17vk:21195:21198} develops the {m.03mb16l:21336:21374} , which establishes minimum regulations for energy-efficient building.
clueweb09-en0000-60-04214	 With surging energy consumption, high energy prices and raising CO2 emissions, the imperative to improve energy efficiency is stronger than ever,  said {m.027djy5:20335:20347} , executive director of {m.01py57:20371:20374} .
clueweb09-en0000-60-04226	The {m.0fytk:21823:21859} 's  {m.0js8z:21868:21903}  funded the {m.02bygw:21922:21938} tests under its Assistance to Firefighters grant program.
clueweb09-en0000-60-04230	{m.02_286:15454:15467} , State of {m.050ks:15478:15483} Adopt Int'l Fire Code
clueweb09-en0000-60-04244	In May 2007, {m.02_286:21864:21872} Mayor {m.09pfj:21879:21896} launched {m.02vtzts:21906:21912} 2030, setting a range of targets toward creating one of the most sustainable cities in the world over the next 25 years.
clueweb09-en0000-60-04255	52% believed that the majority of {m.01lr_q:20793:20800} would come from {m.0j0k:20817:20821} by 2020.
clueweb09-en0000-60-04266	The {m.0fpjj:18991:18995} revised {m.0fpjj:19116:19120} 434 - Guide for Functional Evaluation of Insulation Systems for AC Electric Machines Rated 2300 V and Above by adding definitions that clarify the standard and including more specific test details.
clueweb09-en0000-60-04268	{m.04y7khg:22436:22440} 2007 {m.0d6lp:22446:22459} will be held at the {m.09fm_t:22480:22494} , Oct. 5-8.
clueweb09-en0000-60-04270	Another significant change in comparison to the {m.047tpss:23829:23850} is?that the {m.07xjy6:23868:23895} references national standards for structural load determination and design.
clueweb09-en0000-60-04270	Also, {m.01n7q:25600:25610} s use of the {m.07xjy6:25624:25651} , International Existing Building Code and International Fire Code has resulted in a more harmonized approach and will make it easier for manufacturers and design firms?who provide?products and services?throughout the {m.09c7w0:25884:25886} .
clueweb09-en0000-60-04270	Another significant change in comparison to the {m.047tpss:23829:23850} is?that the {m.07xjy6:23868:23895} references national standards for structural load determination and design.
clueweb09-en0000-60-04270	Also, {m.01n7q:25600:25610} s use of the {m.07xjy6:25624:25651} , International Existing Building Code and International Fire Code has resulted in a more harmonized approach and will make it easier for manufacturers and design firms?who provide?products and services?throughout the {m.09c7w0:25884:25886} .
clueweb09-en0000-60-04273	This May, the {m.0h17vk:20103:20140} , a subsidiary of the {m.0h17vk:20162:20188}  celebrated Building Safety Week, which was first observed in 1980.
clueweb09-en0000-60-04275	One of the biggest and most widely recognized certification programs in the {m.09c7w0:21336:21349} is the {m.0b6zt8:21357:21402}  Green Building Rating System developed by the {m.09c7w0:21456:21460} {m.06_v0b5:21461:21483} .
clueweb09-en0000-60-04275	And in November, the {m.0c95cy:22089:22094} launched {m.0b6zt8:22104:22108} for Homes to provide a rating system specifically designed for homes.
clueweb09-en0000-60-04275	One of the biggest and most widely recognized certification programs in the {m.09c7w0:21336:21349} is the {m.0b6zt8:21357:21402}  Green Building Rating System developed by the {m.09c7w0:21456:21460} {m.06_v0b5:21461:21483} .
clueweb09-en0000-60-04275	And in November, the {m.0c95cy:22089:22094} launched {m.0b6zt8:22104:22108} for Homes to provide a rating system specifically designed for homes.
clueweb09-en0000-60-04277	It developed and operates a scheme in the {m.07ssc:22958:22960} called {m.04y7vjb:22968:22974} the BRE Environmental Assessment Method.
clueweb09-en0000-60-04277	{m.028bw6v:25661:25664} is refurbishing the stable block of a {m.0814f:25703:25712} country house and using that as a test case to see how sustainably we can do this particular project and demonstrate afterwards what the key components of sustainability are.
