m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.0k6nt	Denmark	biology.breed_origin,organization.organization_scope,location.location,royalty.kingdom,location.country,government.political_district,organization.organization_member,location.statistical_region,travel.travel_destination,symbols.name_source,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0f8l9c	France	biology.breed_origin,organization.organization_scope,location.location,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.05b4w	Norway	biology.breed_origin,location.location,organization.organization_scope,royalty.kingdom,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.05qhw	Poland	biology.breed_origin,organization.organization_scope,location.location,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,business.business_location,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.056vv	Montenegro	location.location,organization.organization_scope,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.06bnz	Russia	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,media_common.netflix_genre,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.0d0kn	Georgia	biology.breed_origin,organization.organization_scope,location.location,location.country,fictional_universe.fictional_setting,film.film_location,organization.organization_member,location.statistical_region,olympics.olympic_participating_country,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0345h	Germany	biology.breed_origin,organization.organization_scope,location.location,media_common.netflix_genre,film.film_location,organization.organization_member,government.political_district,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,broadcast.tv_station_owner,location.administrative_division,business.business_location,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.07t21	Ukraine	biology.breed_origin,organization.organization_scope,location.location,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.015qh	Bulgaria	biology.breed_origin,location.location,organization.organization_scope,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,business.business_location,sports.sport_country,government.governmental_jurisdiction,location.country,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.016wzw	Peru	biology.breed_origin,organization.organization_scope,location.location,location.country,fictional_universe.fictional_setting,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.06cmp	Roman Empire	location.location,military.military_combatant,location.country,fictional_universe.fictional_setting,film.film_subject,location.statistical_region,book.book_subject,government.governmental_jurisdiction
m.01ycx0	Polish–Lithuanian Commonwealth	location.location,military.military_combatant,royalty.kingdom,location.country,location.statistical_region
m.05vz3zq	Soviet Union	biology.breed_origin,location.location,organization.organization_scope,location.country,organization.organization_member,location.statistical_region,military.military_combatant,olympics.olympic_participating_country,film.film_subject,organization.organization_founder,sports.sports_team_location,sports.sport_country,book.book_subject,government.governmental_jurisdiction
m.06v36	Swaziland	location.location,royalty.kingdom,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,olympics.olympic_participating_country,sports.sports_team_location,organization.organization_founder,book.book_subject,government.governmental_jurisdiction
m.01znc_	Turkey	biology.breed_origin,organization.organization_scope,location.location,location.country,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.04sj3	Madagascar	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,location.country,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,olympics.olympic_participating_country,sports.sports_team_location,book.book_subject,government.governmental_jurisdiction
m.03gj2	Hungary	biology.breed_origin,location.location,organization.organization_scope,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.04hqz	Lebanon	organization.organization_scope,location.location,location.country,fictional_universe.fictional_setting,organization.organization_member,location.statistical_region,military.military_combatant,olympics.olympic_participating_country,sports.sports_team_location,organization.organization_founder,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.06mkj	Spain	biology.breed_origin,location.location,organization.organization_scope,royalty.kingdom,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,business.business_location,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.01mk6	Czechoslovakia	biology.breed_origin,organization.organization_scope,location.location,aviation.aircraft_owner,location.country,fictional_universe.fictional_setting,organization.organization_member,location.statistical_region,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sports_team_location,book.book_subject,government.governmental_jurisdiction
m.035qy	Greece	biology.breed_origin,location.location,organization.organization_scope,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,film.film_subject,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.03h2c	Honduras	meteorology.cyclone_affected_area,location.location,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,olympics.olympic_participating_country,film.film_subject,sports.sports_team_location,organization.organization_founder,book.book_subject,government.governmental_jurisdiction
m.03f2w	East Germany	organization.organization_scope,location.location,location.country,organization.organization_member,location.statistical_region,architecture.architectural_structure_owner,olympics.olympic_participating_country,film.film_subject,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0b90_r	Mexico	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,business.business_location,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,location.country,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.05v8c	Philippines	meteorology.cyclone_affected_area,organization.organization_scope,location.location,media_common.netflix_genre,location.country,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.01rxw	Congo	biology.breed_origin,location.location,location.country,organization.organization_member,location.statistical_region,olympics.olympic_participating_country,location.administrative_division,sports.sports_team_location,book.book_subject,government.governmental_jurisdiction
m.0hzlz	South Africa	biology.breed_origin,organization.organization_scope,location.location,location.country,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,film.film_subject,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.05bcl	Northern Ireland	organization.organization_scope,location.location,location.country,fictional_universe.fictional_setting,film.film_location,location.statistical_region,olympics.olympic_participating_country,location.administrative_division,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.017cw	Byzantine Empire	location.location,military.military_combatant,location.country,location.statistical_region,book.book_subject,government.governmental_jurisdiction
m.0cdbq	Russian Empire	location.location,organization.organization_scope,royalty.kingdom,location.country,fictional_universe.fictional_setting,location.statistical_region,military.military_combatant,olympics.olympic_participating_country,book.book_subject,government.governmental_jurisdiction
m.0h44w	Mandatory Palestine	location.location,location.country,film.film_location,location.statistical_region,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0ctw_b	New Zealand	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,royalty.kingdom,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,organization.organization_sector,location.country,fictional_universe.fictional_setting,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.0d05w3	China	biology.breed_origin,meteorology.cyclone_affected_area,location.location,organization.organization_scope,royalty.kingdom,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sport_country,government.governmental_jurisdiction,education.field_of_study,location.country,fictional_universe.fictional_setting,location.statistical_region,film.film_subject,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.01mjq	Czech Republic	biology.breed_origin,organization.organization_scope,location.location,media_common.netflix_genre,location.country,organization.organization_member,business.sponsor,location.statistical_region,travel.travel_destination,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,business.business_location,sports.sports_team_location,sports.sport_country,book.book_subject,business.employer,government.governmental_jurisdiction
m.04v3q	Malta	biology.breed_origin,location.location,organization.organization_scope,location.country,film.film_location,organization.organization_member,location.statistical_region,travel.travel_destination,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0dclg	Philadelphia	organization.organization_scope,location.location,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,film.film_location,location.statistical_region,people.place_of_interment,travel.travel_destination,location.citytown,award.award_presenting_organization,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.073z49	Hoshiarpur	location.location,location.statistical_region,location.citytown
m.0cbvc2	West Point Grey	location.location,location.neighborhood
m.01z52t	Motherwell	location.location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.031lxg	Ightham Mote	location.location,architecture.structure
m.0y1rf	Rochester	location.location,organization.organization_scope,location.hud_county_place,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.02fpfx	Mutare	location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown
m.01531	The Bronx	organization.organization_scope,location.location,location.place_with_neighborhoods,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.us_county,location.administrative_division,business.business_location,sports.sports_team_location,periodicals.newspaper_circulation_area,business.employer,book.book_subject
m.01q1j	Cornwall	location.location,organization.organization_scope,film.film_location,location.statistical_region,protected_sites.listed_site,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.024bt7	Pointe-Claire	location.location,location.statistical_region,location.citytown
m.02dtg	Detroit	organization.organization_scope,location.location,location.place_with_neighborhoods,symbols.namesake,location.hud_county_place,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,film.film_subject,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.01wm54	Matsusaka	location.location,location.statistical_region,location.citytown
m.035560	Ahoghill	location.location,location.statistical_region,location.citytown
m.017vdg	Ayr	location.location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.0nn83	Jefferson County	location.location,symbols.namesake,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.us_county
m.015cj9	Cheltenham	location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,travel.travel_destination,location.citytown
m.0nc2s	St Pancras, London	location.location
m.0rlww	Monticello	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0dq16	Albany	location.location,organization.organization_scope,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.042jn1	Carei	location.location,location.statistical_region,location.citytown
m.0tz14	Haverhill	location.location,location.hud_county_place,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.0_skz	Elk Point	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.0jcg8	Derbyshire	location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.01sn3	Cleveland	location.location,organization.organization_scope,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,business.business_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.0d6hn	Havana	location.location,location.administrative_division,film.film_location,location.statistical_region,travel.travel_destination,location.citytown
m.05dlvh	Nzérékoré	location.location,location.administrative_division,location.statistical_region,location.citytown
m.01m1_t	New Britain	location.location,location.hud_county_place,film.film_location,location.statistical_region,travel.travel_destination,location.citytown
m.0498y	Kentucky	meteorology.cyclone_affected_area,location.location,organization.organization_scope,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0jpvq	Benevento	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.03ykpv	Akhalkalaki	location.location,location.statistical_region,location.citytown
m.0hvm_	Ayrshire	organization.organization_scope,location.location,location.administrative_division,sports.sports_team_location,location.statistical_region
m.0gp6wk	Omuta	location.location,location.statistical_region,location.citytown
m.01y937	Lower East Side	location.location,location.neighborhood,film.film_location,book.book_subject,protected_sites.listed_site
m.055d0y	Kermanshah	location.location,location.statistical_region,location.citytown
m.0pmhy	Nola	location.location,location.statistical_region,location.citytown
m.0ccvx	Queens	organization.organization_scope,location.location,location.place_with_neighborhoods,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,location.us_county,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.02gptq	Troon,South Ayrshire	location.location,location.statistical_region,location.citytown
m.06vbd	Syria	organization.organization_scope,location.location,location.country,organization.organization_member,location.statistical_region,military.military_combatant,olympics.olympic_participating_country,sports.sports_team_location,organization.organization_founder,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0y4n8	Blooming Grove	location.location,location.statistical_region,location.citytown
m.0zlgm	Reading	location.location,organization.organization_scope,location.hud_county_place,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown,government.governmental_jurisdiction
m.0r_xc	Kaneohe	location.location,film.film_location,location.statistical_region,location.citytown
m.069yjp	Coaticook	location.location,location.statistical_region,location.citytown
m.051xn1	Calabar	location.location,location.statistical_region,location.citytown
m.01mdcj	Pittsford	location.location,location.statistical_region,location.citytown
m.05s808	El Puerto de Santa María	location.location,location.statistical_region,location.citytown
m.019jlq	Darjeeling	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.010d61	Medford Township	location.location,location.statistical_region,location.citytown
m.0fs29	Port of Spain	location.location,location.administrative_division,periodicals.newspaper_circulation_area,location.statistical_region,location.citytown
m.03qlqq3	Gournay-en-Bray	location.location,location.statistical_region,location.citytown
m.0pc7r	Worcester	location.location,location.hud_county_place,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.05p7m2k	Zeitoun, Gaza	location.location
m.071rj9	Birbhum district	location.location,location.administrative_division,location.statistical_region,location.citytown
m.04czh0m	Torsåker, Hofors	location.location,location.statistical_region,location.citytown
m.0zdfp	Medford	location.location,location.hud_county_place,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,location.statistical_region,location.citytown,government.governmental_jurisdiction
m.0cg4lw	Killearn	location.location,location.statistical_region,location.citytown
m.011w4n	Nancy	location.location,film.film_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,protected_sites.listed_site,location.citytown
m.04mwcd	Enniskerry	location.location,film.film_location,location.statistical_region,travel.travel_destination,location.citytown
m.02ly_	Essex	location.location,organization.organization_scope,film.film_location,location.statistical_region,travel.travel_destination,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.0h3lb9g	Leninsky District, Volgograd Oblast	location.location
m.0102c	Afyonkarahisar	location.location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.0c5nv	Burgos	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0nrzz	Keokuk County	location.location,location.administrative_division,location.statistical_region,book.book_subject,location.us_county
m.0vm5t	Southfield	location.location,location.hud_county_place,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.012wgb	Ireland	biology.breed_origin,organization.organization_scope,location.location,geography.island,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.administrative_division,film.film_subject,periodicals.newspaper_circulation_area,book.book_subject
m.0947l	Milan	government.government_office_or_title,location.location,organization.organization_scope,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area
m.056_y	Madrid	organization.organization_scope,location.location,location.place_with_neighborhoods,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0n96z	London Borough of Hackney	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0bhd_3	Huanggang	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0b2lw	Saint Paul	location.location,location.place_with_neighborhoods,symbols.namesake,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0189y8	Steinkjer	location.location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.06w92	Sicily	location.location,geography.island,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.019pcs	Ethiopia	organization.organization_scope,location.location,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,sports.sports_team_location,organization.organization_founder,sports.sport_country,book.book_subject,government.governmental_jurisdiction
m.0y6bc	Nyack	location.location,location.hud_county_place,film.film_location,location.statistical_region,location.citytown
m.03qhdgg	Labarthe, Tarn-et-Garonne	location.location,location.statistical_region,location.citytown
m.0hyxv	Glasgow	organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,award.award_winner,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.01mp9v	Oshkosh	location.location,organization.organization_scope,location.hud_county_place,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.capital_of_administrative_division,business.employer,government.governmental_jurisdiction
m.04n3l	Long Island	meteorology.cyclone_affected_area,location.location,organization.organization_scope,geography.island,fictional_universe.fictional_setting,film.film_location,location.statistical_region,business.business_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.013gwb	Springfield	location.location,location.hud_county_place,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.03rt9	Republic of Ireland	location.location,organization.organization_scope,location.country,fictional_universe.fictional_setting,organization.organization_member,location.statistical_region,olympics.olympic_participating_country,location.administrative_division,sports.sports_team_location,organization.organization_founder,periodicals.newspaper_circulation_area,sports.sport_country,business.employer,book.book_subject,government.governmental_jurisdiction
m.09cpb	Dorset	organization.organization_scope,location.location,location.administrative_division,film.film_location,location.statistical_region,periodicals.newspaper_circulation_area,symbols.name_source,government.governmental_jurisdiction
m.094vy	Yorkshire	organization.organization_scope,location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,book.book_subject
m.0s69k	Aurora	location.location,location.hud_county_place,film.film_location,periodicals.newspaper_circulation_area,location.statistical_region,location.citytown,government.governmental_jurisdiction
m.05l64	Oslo	location.location,location.place_with_neighborhoods,location.administrative_division,film.film_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.0d6br	Sussex	location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,book.book_subject
m.0233ff	St Leonards	location.location,location.statistical_region,location.citytown
m.010p4k	Marion	location.location,symbols.namesake,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.02plnsn	Atpadi	location.location
m.02y_47j	Ödeshög	location.location,location.statistical_region,location.citytown
m.0hf7l	Düsseldorf	location.location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.013mtk	Kilgore	location.location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.01ybv0	Aston	location.location
m.0824r	Wisconsin	organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.014vm4	Hangzhou	location.location,location.administrative_division,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,book.book_subject,location.citytown
m.08c_pb	Cascante	location.location,location.statistical_region,location.citytown
m.0yqqm	Borås	location.location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.017_4z	Chelmsford	location.location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.0y0tv	Henderson	location.location,location.statistical_region,location.citytown
m.013q9n	Wuchang District	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0ny1p	Zhejiang	location.location,location.administrative_division,location.statistical_region,book.book_subject,government.governmental_jurisdiction
m.07c1lm	Vacoas-Phoenix	location.location,location.administrative_division,location.statistical_region,location.citytown
m.09btk	Trondheim	location.location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.09tlh	Nottingham	organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.06wxw	St. Louis	location.location,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,film.film_location,business.business_operation,location.statistical_region,travel.travel_destination,location.us_county,location.citytown,symbols.name_source,organization.organization,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.0xxn4	Johnson City	location.location,location.statistical_region,location.citytown
m.01773g	Stavanger	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.0k9g	Aberdeenshire	location.location,location.administrative_division,location.statistical_region,travel.travel_destination
m.02jwv8	Andover	location.location,location.statistical_region,location.citytown
m.015z0v	Lanarkshire	location.location,location.administrative_division,location.statistical_region
m.034lk7	Staunton city	location.location,location.hud_county_place,location.statistical_region,location.us_county,travel.travel_destination,location.citytown,location.administrative_division,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.0rg4d	Canterbury	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.0cc56	Manhattan	organization.organization_scope,location.location,location.place_with_neighborhoods,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.02x2c7	Prahran	location.location,location.statistical_region,location.citytown
m.0fhzf	Belgrade	location.location,location.place_with_neighborhoods,location.administrative_division,sports.sports_team_location,film.film_location,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.09_76k	Poolewe	location.location,location.statistical_region,location.citytown
m.01g8fr	Colmar	location.location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.01q0l	Constantinople	location.location,fictional_universe.fictional_setting,location.statistical_region,book.book_subject,location.citytown
m.053bkw	Ardwick	location.location,location.neighborhood
m.0mnpf	King and Queen County	location.location,location.administrative_division,location.statistical_region,location.us_county
m.0r0vc	Rolling Hills	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.0g0rp	Worcester	location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.0n1rj	Tampa	organization.organization_scope,location.location,location.place_with_neighborhoods,location.hud_county_place,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,book.book_subject,government.governmental_jurisdiction
m.0gk_6r9	Hakadal	location.location
m.0mx3k	Multnomah County	location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.us_county,government.governmental_jurisdiction
m.0j4p5	Bedfordshire	organization.organization_scope,location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.0nq_b	Islington	location.location,location.administrative_division,location.statistical_region,location.citytown
m.0rf_d	Hebron	location.location,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.02lf_x	Aichi Prefecture	location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area
m.0463hxh	Balapitiya	location.location
m.0pmp2	Quebec City	organization.organization_scope,location.location,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.0yc6d	Lewisboro	location.location,location.statistical_region,location.citytown
m.09hrq1	Pilot Mound	location.location,location.statistical_region,location.citytown
m.088cp	York	organization.organization_scope,location.location,fictional_universe.fictional_setting,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown
m.04s1q1	Karoo	location.location
